"price","sqft","neighborhood","sqft-2","neighborhood-2"
2800,455,"nob hill",840,"Koreatown"
2495,442,"visitacion valley",600,"West Los Angeles / Century City"
2100,700,"russian hill",720,"2401 S Hacienda Blvd, Hacienda Heights, CA"
1850,400,"marina / cow hollow",610,"Downey"
1850,450,"nob hill",610,"Downey"
3850,856,"SOMA / south beach",908,"Westwood / Near UCLA"
3950,700,"pacific heights",1412,"Van Nuys"
3950,1300,"excelsior / outer mission",1412,"Van Nuys"
4995,1130,"SOMA / south beach",2400,"************* VAN NUYS ****************"
2850,860,"richmond / seacliff",1077,"****************** PANORAMA CITY *********************"
5995,1540,"nob hill",2500,"************** SUN VALLEY *************"
3195,627,"lower nob hill",1024,"Hollywood"
3100,800,"russian hill",727,"West Los Angeles"
3100,900,"mission district",727,"West Los Angeles"
4200,607,"financial district",1300,"******** SUN VALLEY ***************"
4200,948,"SOMA / south beach",1300,"******** SUN VALLEY ***************"
4995,1130,"SOMA / south beach",1900,"************** NORTH HOLLYWOOD ****************"
2850,860,"richmond / seacliff",1077,"****************** PANORAMA CITY *********************"
4995,1130,"SOMA / south beach",2400,"************* VAN NUYS ****************"
2495,442,"visitacion valley",1093,"Northridge /  Nearby CSUN"
2800,455,"nob hill",945,"Northridge"
